Paises;Anos;X1;X2;X3;X4
DE - Alemanha;2009;12,9;11,1;3,4;-5,7
DE - Alemanha;2011;11;11,6;3,4;3,9
DE - Alemanha;2013;9,9;9,8;3,2;0,4
DE - Alemanha;2015;9,6;10,1;3,1;1,5
DE - Alemanha;2017;9,6;10,1;3;2,7
DE - Alemanha;2019;8,6;10,3;2,9;1,1
DE - Alemanha;2021;9,5;12,5;2,9;3,2
DE - Alemanha;2023;8,5;8,8;4,7;-3,8
AT - Áustria;2009;10;8,5;4,5;2,9
AT - Áustria;2011;8,9;7,5;4,4;0
AT - Áustria;2013;9;7,3;4,1;1
AT - Áustria;2015;9;7,4;3,9;2,3
AT - Áustria;2017;8,8;7,8;3,9;1,5
AT - Áustria;2019;8,6;8;4;4,2
AT - Áustria;2021;9,4;11,1;8,1;-2
AT - Áustria;2023;9,4;12,3;7,7;1,7
BE - Bélgica;2009;12,2;11;6,9;0,5
BE - Bélgica;2011;13,1;10,1;6,9;2
BE - Bélgica;2013;14,1;8,9;6,7;1,6
BE - Bélgica;2015;13,6;8,4;6,6;2,2
BE - Bélgica;2017;11,8;6,7;6,2;6,9
BE - Bélgica;2019;11,2;14,7;4,4;-3,3
BE - Bélgica;2021;10,1;11,8;4,2;2,1
BE - Bélgica;2023;9,6;12,5;3,9;-0,5
BG - Bulgária;2009;20,8;13,4;3,9;3,4
BG - Bulgária;2011;24,8;12,7;3,7;2,7
BG - Bulgária;2013;25,8;13,9;4;4
BG - Bulgária;2015;22,2;12,2;4;7,7
BG - Bulgária;2017;18,9;11,7;4,1;-2
BG - Bulgária;2019;16,7;11,3;4;0,4
BG - Bulgária;2021;17,6;9,1;3,7;-6,6
BG - Bulgária;2023;13,8;5,2;3,5;3,4
CY - Chipre;2009;11,5;8,5;3,4;5,7
CY - Chipre;2011;14,8;9,2;3,1;5,5
CY - Chipre;2013;20,4;10,2;3,1;9,9
CY - Chipre;2015;18,5;5,2;4,3;-7,2
CY - Chipre;2017;17,6;5;4,3;-0,1
CY - Chipre;2019;14,1;4,5;4,4;-0,4
CY - Chipre;2021;15,4;2,8;4,3;2,5
CY - Chipre;2023;13,8;3,1;4;3,4
HR - Croácia;2009;14,9;3;3,7;3,4
HR - Croácia;2011;19,1;2,4;3,8;13,8
